Charity,What the charity does,Cost per WELLBY,"WELLBYs created per $1,000 donated",Duration of effect (years),Country income,Total sample,Total studies,Causal evidence,Evidence relevance,Depth of analysis,Publication status,Evaluator,What does it do (more detail),Dosage,HLI recommendation
Earthenable,Upgrading flooring,34.06,29.35995302407516,8,LMICs,2742,1,yes (RCT),medium,Shallow,Unpublished,Happier Lives Institute,Upgrading flooring (1 new earthen floor),1 new earthen floor,Not Currently Recommended
TECHO,Emergency housing,70.11,14.26330052774212,3,LMICs,2203,4,yes (RCTs),high,Shallow,Unpublished,Happier Lives Institute,Emergency housing (1 new small house),1 new small house,Not Currently Recommended
Royal National Lifeboat Institution,Search and rescue,4838.711867391087,0.206666573130583,lifetime,HIC (UK),NA,0,no (associative study),high,Shallow,BOTEC for WHR chapter,Happier Lives Institute,"Search and rescue, volunteering (a year of search and rescue)",a year of search and rescue,Not Currently Recommended
Hypothetical homeless charity (1),Cash transfers for homeless,19994.11572854739,0.0500147150079866,2.05,HIC (Canada),115,1,yes (RCT),unclear,Shallow,BOTEC for WHR chapter,Happier Lives Institute,"Cash transfers to unhoused people (lump-sum unconditional 7,500 CAD cash transfer)","lump-sum unconditional 7,500 CAD cash transfer",Not Currently Recommended
Hypothetical homeless charity (2),Housing for homeless,35027.5,0.02854899721647277,1,HIC (UK and Canada),2148,1,yes (RCT),unclear,Shallow,BOTEC for WHR chapter,Frijters & Krekel 2021,Housing and support for unhoused,housing and social assistance,Not Currently Recommended
Guide Dogs UK,Guide dogs for the blind,40766.66963899217,0.02452984285582966,7,HIC (UK),211,3,no (associative study),medium,Shallow,BOTEC for WHR chapter,Happier Lives Institute,Providing guide dogs for the blind (one guide dog companion),one guide dog companion,Not Currently Recommended
