charity,CpWB,WBp1k,depth_of_analysis,intervention,recommendation,url
Pure Earth (Ghana),9.4852,105.42740269050731,Medium,Advocacy for reducing lead exposure,Promising Charity,https://www.happierlivesinstitute.org/pure-earth-summary/
Taimaka,15.151515151515152,66,Medium,Treating acute malnutrition,Promising Charity,https://www.happierlivesinstitute.org/taimaka-summary/
"Parenting charities / Icddr,b",19.952114924181963,50.120000000000005,Medium,NA,Honourable Mention,https://www.happierlivesinstitute.org/reach-up-summary/
Friendship Bench,20.61,48.5201358563804,In-depth,Psychotherapy,Top Charity,https://www.happierlivesinstitute.org/friendship-bench-comprehensive-summary/
StrongMinds,24.77,40.37141703673799,In-depth,Psychotherapy,Top Charity,https://www.happierlivesinstitute.org/strongminds-comprehensive-summary/
ACTRA,27.29006,36.64337857813431,Shallow,CBT to reduce crime,Honourable Mention,https://www.happierlivesinstitute.org/report/the-promise-of-actra-preventing-crime-with-cognitive-behavioural-therapy/
Shamiri,30.37,32.927230819888045,Shallow,Psychotherapy,Honourable Mention,https://www.happierlivesinstitute.org/report/the-wellbeing-cost-effectiveness-of-the-shamiri-institute/
Fortify Health,46.18937644341802,21.65,Medium,Fortifying wheat flour with iron,Not Currently Recommended,https://www.happierlivesinstitute.org/fortify-health-summary/
GiveDirectly,132.3988,7.552938546270813,In-depth,Cash transfers,Not Currently Recommended,https://www.happierlivesinstitute.org/givedirectly-comprehensive-summary/
